code,short_name,board,field,strict_label,status,page,root_cause,priority,fix_type,confidence,evidence_summary,recommended_action,notes
920392,佳合科技,bse,revenue_by_region,wrong,found,30,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利 率% 营业收入 比上年同 期 营业成本 比上年同 期 毛利率比 上年同期 增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 31}"
920593,鼎智科技,bse,revenue_by_region,wrong,found,20,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利率% 营业收入比 上年同期 增减% 营业成本 比上年同 期 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 21}"
920719,宁新新材,bse,revenue_by_region,wrong,found,19,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利率% 营业收入比 上年同期 增减% 营业成本 比上年同 期 增减% 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=4; flags={'stitched': True, 'continuation_page': 20}"
920932,科达自控,bse,revenue_by_region,wrong,found,18,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利率% 营业收入 比上年同 营业成本 比上年同 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 19}"
920957,汉维科技,bse,revenue_by_region,wrong,found,16,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分地区 营业收入 营业成本 毛利率% 营业收入 比上年同 营业成本 比上年同 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 17}"
300128,锦富技术,chinext,revenue_by_segment,wrong,found,19,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,"分行业 光学光电子元器 件制造 542,496,130.01 514,449,819.17 5.17% -41.03% -35.23% -8.48% 计算机、通信和 其他电子设备制 造业 327,727,799.42 192,571,215.60 41.24% -4.19% -6.94% 1.74% 通用设备制造 15,852,827.17 9,726,598.12 38.64% 12.49%…",scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=2; flags={'stitched': True, 'continuation_page': 20}"
300729,乐歌股份,chinext,revenue_by_segment,wrong,found,51,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分行业的龙头，在设计研发、品牌、服务、渠道等方面具有较强的优势，公司将以市场为导向继续保持技术创新能力，,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=3; flags={'stitched': True, 'continuation_page': 52}"
873339,恒太照明,bse,revenue_by_segment,wrong,found,15,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分产品 营业收入 营业成本 毛利率% 营业收入比 上年同期 增减% 营业成本 比上年同 期 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 16}"
920116,星图测控,bse,revenue_by_segment,wrong,found,25,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分产品 营业收入 营业成本 毛利率% 营业收入比 上年同期 营业成本比上 年同期 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 26}"
920339,恒太照明,bse,revenue_by_segment,wrong,found,15,tier3_stitched_still_empty_multipage,P0,extraction_tier4,high,分产品 营业收入 营业成本 毛利率% 营业收入比 上年同期 增减% 营业成本 比上年同 期 毛利率比上 年同期增减,scoped Tier4 pilot,"Tier3 N+1 stitch ran but still 0 strict data rows; try N+2/multi-page; data_rows=0; raw_rows=5; flags={'stitched': True, 'continuation_page': 16}"
000039,中集集团,szse_main,rnd_investment,partial,found,318,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=1,468,339",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
000420,吉林化纤,szse_main,rnd_investment,partial,found,18,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=29,119,999.79",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
000516,国际医学,szse_main,rnd_investment,partial,found,26,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=6,990,751.27",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
000546,金圆股份,szse_main,rnd_investment,partial,found,21,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=3,929,093.15",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
000619,海螺新材,szse_main,rnd_investment,partial,found,77,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=42,712,820.69",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
000626,远大控股,szse_main,rnd_investment,partial,found,28,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=23,055,740.66",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
000838,*ST发展,szse_main,rnd_investment,partial,found,20,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=2,248,209.02",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
000862,银星能源,szse_main,rnd_investment,partial,found,15,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=3,391,449.59",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
000885,城发环境,szse_main,rnd_investment,partial,found,20,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=20,847,470.91",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
000888,峨眉山A,szse_main,rnd_investment,partial,found,18,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=2,050,537.86",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
000892,欢瑞世纪,szse_main,rnd_investment,partial,found,16,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=3,602,868.85",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
000982,中银绒业,szse_main,rnd_investment,partial,found,21,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=10,176,568.37",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
001266,宏英智能,szse_main,rnd_investment,partial,found,18,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=59,622,666.69",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
001376,百通能源,szse_main,rnd_investment,partial,found,21,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=188,522.78",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002003,伟星股份,szse_main,rnd_investment,partial,found,18,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=180,635,486.86",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002016,世荣兆业,szse_main,rnd_investment,partial,found,21,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=43,655,948.20",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002040,南京港,szse_main,rnd_investment,partial,found,14,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=14,945,169.56",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002183,怡亚通,szse_main,rnd_investment,partial,found,26,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=30,166,379.00",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002274,华昌化工,szse_main,rnd_investment,partial,found,32,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=89,148,417.08",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002285,世联行,szse_main,rnd_investment,partial,found,26,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=25,892,781.46",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002306,ST云网,szse_main,rnd_investment,partial,found,21,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=544,420.42",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002366,融发核电,szse_main,rnd_investment,partial,found,17,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=38,430,907.86",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002380,科远智慧,szse_main,rnd_investment,partial,found,17,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=175,659,119.77",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002423,中粮资本,szse_main,rnd_investment,partial,found,20,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=18,618,680.89",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002505,鹏都农牧,szse_main,rnd_investment,partial,found,23,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=14,419,778.40",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002569,*ST步森,szse_main,rnd_investment,partial,found,18,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=1,132,896.32",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002645,华宏科技,szse_main,rnd_investment,partial,found,21,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=183,452,705.08",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002656,*ST摩登,szse_main,rnd_investment,partial,found,24,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=4,879,295.23",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002679,福建金森,szse_main,rnd_investment,partial,found,15,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=967,072.49",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002731,ST萃华,szse_main,rnd_investment,partial,found,39,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=4,029,595.74",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002742,冀衡医药,szse_main,rnd_investment,partial,found,16,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=20,873,564.71",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002769,普路通,szse_main,rnd_investment,partial,found,17,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=8,323,459.14",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002879,长缆科技,szse_main,rnd_investment,partial,found,75,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=62,015,737.42",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002891,中宠股份,szse_main,rnd_investment,partial,found,103,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=69,612,471.50",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002892,科力尔,szse_main,rnd_investment,partial,found,218,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=45,332,559.94",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
002896,中大力德,szse_main,rnd_investment,partial,found,87,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=63,849,545.74",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
300251,光线传媒,chinext,rnd_investment,partial,found,18,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=32,995,133.87",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
300280,紫天退,chinext,rnd_investment,partial,found,17,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=1,139,047.56",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
300518,新迅达,chinext,rnd_investment,partial,found,18,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=865,637.07",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
300810,中科海讯,chinext,rnd_investment,partial,found,118,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=24,118,684.69",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
301382,蜂助手,chinext,rnd_investment,partial,found,32,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=61,781,234.74",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600011,华能国际,sse_main,rnd_investment,partial,found,15,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=1,658,380,654",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600020,中原高速,sse_main,rnd_investment,partial,found,19,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=500,000.00",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600029,南方航空,sse_main,rnd_investment,not_found_unverified,not_found,22,not_found_but_table_evidence,P0,extraction_p22,high,费用化研发投入 544 本期资本化研发投入 1 研发投入合计 545 研发投入总额占营业收入比例（%） 0.31 研发投入资本化的比重（%） 0.18,scoped rnd extraction recovery pilot,Numeric R&D table in evidence but status not_found
600057,厦门象屿,sse_main,rnd_investment,partial,found,27,expensed_vs_total_anchor_collision,P0,extraction_p22,high,"费用化研发投入=9,622.42",scoped rnd extraction/audit pilot,Prefer 合计 or sum expensed+capitalized; strict_reason=non-total label '费用化研发投入'
600082,ST海泰,sse_main,rnd_investment,partial,found,11,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=724,358,697.29",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600088,中视传媒,sse_main,rnd_investment,partial,found,13,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=2,863,889.20",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600097,开创国际,sse_main,rnd_investment,not_found_unverified,not_found,12,not_found_but_table_evidence,P0,extraction_p22,high,费用化研发投入 122.80 本期资本化研发投入 研发投入合计 122.80 研发投入总额占营业收入比例（%） 0.05 研发投入资本化的比重（%） (2).研发人员情况表 □适用 √不适用 (3).情况说明 □适用 √不适用,scoped rnd extraction recovery pilot,Numeric R&D table in evidence but status not_found
600113,浙江东日,sse_main,rnd_investment,not_found_unverified,not_found,16,not_found_but_table_evidence,P0,extraction_p22,high,费用化研发投入 903.62 本期资本化研发投入 研发投入合计 903.62 研发投入总额占营业收入比例（%） 1.25 研发投入资本化的比重（%） (2).研发人员情况表 √适用□不适用,scoped rnd extraction recovery pilot,Numeric R&D table in evidence but status not_found
600115,中国东航,sse_main,rnd_investment,not_found_unverified,not_found,25,not_found_but_table_evidence,P0,extraction_p22,high,费用化研发投入 343 本期资本化研发投入 7 研发投入合计 350 研发投入总额占营业收入比例（%） 0.26 研发投入资本化的比重（%） 2.00,scoped rnd extraction recovery pilot,Numeric R&D table in evidence but status not_found
600125,铁龙物流,sse_main,rnd_investment,not_found_unverified,not_found,13,not_found_but_table_evidence,P0,extraction_p22,high,费用化研发投入 28.25 本期资本化研发投入 研发投入合计 28.25 研发投入总额占营业收入比例（%） 0.002 研发投入资本化的比重（%） (2).研发人员情况表 √适用□不适用 公司研发人员的数量(人) 17 研发人员数量占公司总人数的比例（%） 0.8 研发人员学历结构 学历结构类别 学历结构人数 博士研究生(人) 硕士研究生(人) 1 本科(人) 11 专科(人) 3 高中及以下(…,scoped rnd extraction recovery pilot,Numeric R&D table in evidence but status not_found
600185,珠免集团,sse_main,rnd_investment,partial,found,13,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=4,162,652.70",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600234,科新发展,sse_main,rnd_investment,partial,found,18,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=1,447,200.45",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600238,*ST椰岛,sse_main,rnd_investment,not_found_unverified,not_found,18,not_found_but_table_evidence,P0,extraction_p22,high,费用化研发投入 536.73 本期资本化研发投入 研发投入合计 536.73 研发投入总额占营业收入比例（%） 3.06 研发投入资本化的比重（%） (2).研发人员情况表 √适用□不适用 公司研发人员的数量 29 研发人员数量占公司总人数的比例（%） 7.47 研发人员学历结构 学历结构类别 学历结构人数 硕士研究生 4 本科 19 专科 4 高中及以下 2 研发人员年龄结构 年龄结构类别 年…,scoped rnd extraction recovery pilot,Numeric R&D table in evidence but status not_found
600310,广西能源,sse_main,rnd_investment,partial,found,25,expensed_vs_total_anchor_collision,P0,extraction_p22,high,"费用化研发投入=16,893,092.03",scoped rnd extraction/audit pilot,Prefer 合计 or sum expensed+capitalized; strict_reason=non-total label '费用化研发投入'
600346,恒力石化,sse_main,rnd_investment,partial,found,24,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=170,288.42",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600354,敦煌种业,sse_main,rnd_investment,partial,found,12,expensed_vs_total_anchor_collision,P0,extraction_p22,high,"费用化研发投入=20,312,119.73",scoped rnd extraction/audit pilot,Prefer 合计 or sum expensed+capitalized; strict_reason=non-total label '费用化研发投入'
600362,江西铜业,sse_main,rnd_investment,not_found_unverified,not_found,20,not_found_but_table_evidence,P0,extraction_p22,high,"费用化研发投入 55.21 本期资本化研发投入 4.91 研发投入合计 60.12 研发投入总额占营业收入比例（%） 1.15 研发投入资本化的比重（%） 8.17 (2).研发人员情况表 √适用□不适用 公司研发人员的数量 2,234 研发人员数量占公司总人数的比例（%） 8.47 研发人员学历结构 学历结构类别 学历结构人数 博士研究生 260 硕士研究生 392 本科 1,099 专科 3…",scoped rnd extraction recovery pilot,Numeric R&D table in evidence but status not_found
600487,亨通光电,sse_main,rnd_investment,partial,found,40,expensed_vs_total_anchor_collision,P0,extraction_p22,high,"费用化研发投入=1,741,785,134.75",scoped rnd extraction/audit pilot,Prefer 合计 or sum expensed+capitalized; strict_reason=non-total label '费用化研发投入'
600508,上海能源,sse_main,rnd_investment,partial,found,14,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=62,319,527.52",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600512,腾达建设,sse_main,rnd_investment,partial,found,16,expensed_vs_total_anchor_collision,P0,extraction_p22,high,"费用化研发投入=148,294,836.70",scoped rnd extraction/audit pilot,Prefer 合计 or sum expensed+capitalized; strict_reason=non-total label '费用化研发投入'
600565,ST迪马,sse_main,rnd_investment,partial,found,24,expensed_vs_total_anchor_collision,P0,extraction_p22,high,"费用化研发投入=46,326,410.65",scoped rnd extraction/audit pilot,Prefer 合计 or sum expensed+capitalized; strict_reason=non-total label '费用化研发投入'
600694,大商股份,sse_main,rnd_investment,partial,found,11,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=1,075,716,890.02",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600696,退市岩石,sse_main,rnd_investment,partial,found,12,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=1,253,000.30",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600705,中航产融,sse_main,rnd_investment,partial,found,12,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=53,647,154.36",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600706,曲江文旅,sse_main,rnd_investment,partial,found,11,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=205,019,979.73",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
600715,文投控股,sse_main,rnd_investment,partial,found,17,expensed_vs_total_anchor_collision,P0,extraction_p22,high,"费用化研发投入=48,382,936.90",scoped rnd extraction/audit pilot,Prefer 合计 or sum expensed+capitalized; strict_reason=non-total label '费用化研发投入'
600733,北汽蓝谷,sse_main,rnd_investment,partial,found,16,expensed_vs_total_anchor_collision,P0,extraction_p22,high,"费用化研发投入=94,380,985.37",scoped rnd extraction/audit pilot,Prefer 合计 or sum expensed+capitalized; strict_reason=non-total label '费用化研发投入'
600758,辽宁能源,sse_main,rnd_investment,partial,found,9,profit_statement_研发费用_not_rnd_table,P0,extraction_p22,high,"研发费用=1,229,541.13",scoped rnd extraction/audit pilot,Captured 利润表 研发费用 not 研发投入情况表; strict_reason=non-total label '研发费用'
